stn,date,time,temp,dewp,stp,slp,visib,wdsp,prcp,sndp,frshtt,cldp,winddir
762550,2021-01-27,10:29:17,10.1,-7.5,1031.6,1013.4,38.6,2.9,0.0,0.0,000000,1.5,233
766850,2021-01-27,10:29:17,2.5,-6.6,787.7,1012.5,14.9,8.0,0.03,0.0,010000,50.2,155
761180,2021-01-27,10:29:17,3.0,-12.6,1013.3,1012.1,40.8,8.8,0.0,0.0,000000,45.3,95
763900,2021-01-27,10:29:17,3.6,-5.6,823.5,1014.5,12.5,10.9,0.05,0.0,010000,50.4,55
766870,2021-01-27,10:29:17,6.4,3.3,873.8,1022.8,8.7,2.7,0.0,0.0,000000,42.1,48
763615,2021-01-27,10:29:17,10.6,1.3,1014.0,1017.4,17.3,6.5,0.0,0.0,000000,1.2,24
762250,2021-01-27,10:29:17,3.9,-9.8,1003.4,1015.0,43.9,9.8,0.0,0.0,000000,73.9,341
761600,2021-01-27,10:29:17,7.0,-4.4,1000.2,1016.6,24.2,2.8,0.0,0.0,000000,48.2,243
762253,2021-01-27,10:29:17,1.6,-13.9,1012.8,1000.9,14.1,15.4,0.0,0.0,000000,6.3,166
764125,2021-01-27,10:29:17,11.1,-2.8,984.5,977.7,10.4,8.3,0.0,0.0,000000,12.9,281
764120,2021-01-27,10:29:17,11.0,3.4,1012.2,1015.2,17.2,7.9,0.05,0.0,010000,51.2,186
767755,2021-01-27,10:29:17,6.0,-8.3,1006.2,1012.4,11.4,8.7,0.0,0.0,000000,32.5,189
760500,2021-01-27,10:29:17,6.0,3.5,1026.9,1018.2,23.7,0.5,0.0,0.0,000000,77.2,0
767260,2021-01-27,10:29:17,7.8,-12.1,843.2,1012.6,15.4,1.5,0.0,0.0,000000,13.3,214
761510,2021-01-27,10:29:17,11.2,8.6,1007.0,1023.1,28.1,34.8,0.0,0.0,000000,70.1,30
766580,2021-01-27,10:29:17,12.3,-0.3,965.4,1009.9,17.7,9.3,0.0,0.0,000000,37.4,167
766913,2021-01-27,10:29:17,7.5,4.5,1012.5,1008.5,9.8,13.4,0.13,0.0,010000,50.9,289
767584,2021-01-27,10:29:17,13.9,6.5,1004.1,1004.0,12.7,9.6,0.0,0.0,000000,39.3,353
768430,2021-01-27,10:29:17,6.9,0.5,952.7,1017.9,12.6,16.9,0.0,0.0,000000,90.4,313
765560,2021-01-27,10:29:17,4.0,-7.8,910.2,1012.2,17.6,9.4,0.0,0.0,000000,50.0,331
767410,2021-01-27,10:29:17,9.5,7.4,1013.8,1014.1,7.8,10.8,0.05,0.0,010000,52.6,69
766910,2021-01-27,10:29:17,12.2,7.8,1012.4,1014.6,10.4,11.3,0.0,0.0,000000,64.6,243
767433,2021-01-27,10:29:17,12.2,8.2,1005.3,1006.7,9.9,14.4,0.01,0.0,010000,50.5,200
764235,2021-01-27,10:29:17,2.5,-7.9,1002.3,1018.6,20.1,5.7,0.0,0.0,000000,69.1,85
765494,2021-01-27,10:29:17,9.3,8.6,988.3,1012.4,7.0,3.4,0.0,0.0,000000,97.3,222
765493,2021-01-27,10:29:17,9.8,5.8,1015.8,1012.7,10.8,16.1,0.0,0.0,000000,87.0,58
765491,2021-01-27,10:29:17,8.4,4.6,1047.0,1034.9,10.2,5.7,0.0,0.0,000000,73.7,41
766540,2021-01-27,10:29:18,14.3,9.0,1015.1,1015.4,7.8,9.9,0.0,0.0,000000,46.4,146
760053,2021-01-27,10:29:18,7.1,-2.4,998.7,1021.3,18.4,4.7,0.0,0.0,000000,2.0,261
763420,2021-01-27,10:29:18,6.9,-1.6,979.5,1016.4,21.2,8.8,0.01,0.0,010000,50.4,335
766753,2021-01-27,10:29:18,0.5,-8.1,1006.9,1014.4,9.7,6.6,0.0,0.0,000000,25.6,41
768430,2021-01-27,10:29:18,7.7,0.5,952.7,1017.9,12.5,17.0,0.0,0.0,000000,90.4,313
760013,2021-01-27,10:29:18,7.4,2.1,1015.4,1011.7,10.4,6.2,0.0,0.0,000000,44.5,9
765480,2021-01-27,10:29:18,10.1,7.3,1020.1,1023.4,15.6,1.7,0.0,0.0,000000,86.3,96
766790,2021-01-27,10:29:18,2.1,-11.8,780.3,1015.3,13.1,7.4,0.04,0.0,010000,51.3,163
766793,2021-01-27,10:29:18,2.4,-9.9,1006.7,1006.5,12.5,7.9,0.0,0.0,000000,42.1,123
761600,2021-01-27,10:29:18,7.0,-6.0,1000.1,1016.6,24.1,2.8,0.0,0.0,000000,48.3,243
766493,2021-01-27,10:29:18,8.6,2.8,1013.3,1015.1,12.8,19.0,0.03,0.0,010000,50.7,355
766490,2021-01-27,10:29:18,9.4,5.6,992.4,1017.7,12.7,16.1,1.13,0.0,010000,50.8,129
766491,2021-01-27,10:29:18,6.7,0.4,1012.4,1006.9,10.6,7.6,0.0,0.0,000000,24.1,135
769043,2021-01-27,10:29:18,8.7,1.8,1000.4,1003.4,0.0,11.3,0.0,0.0,000000,70.4,157
768053,2021-01-27,10:29:18,10.8,7.0,994.8,990.3,9.4,4.4,0.0,0.0,000000,78.9,44
768056,2021-01-27,10:29:18,14.5,7.2,1015.6,1010.9,12.4,4.2,0.0,0.0,000000,77.8,339
767500,2021-01-27,10:29:18,11.6,8.8,1013.1,1014.7,11.2,16.5,0.09,0.0,010000,50.6,293
767502,2021-01-27,10:29:18,13.6,8.8,1011.7,1020.7,11.3,36.5,0.0,0.0,000000,71.3,347
767493,2021-01-27,10:29:18,13.7,8.4,1007.0,1015.1,9.4,17.3,0.0,0.0,000000,70.5,131
762580,2021-01-27,10:29:18,4.8,-6.4,1011.9,1016.9,15.3,9.8,0.0,0.0,000000,30.1,237
766013,2021-01-27,10:29:18,7.7,3.4,1011.4,1007.4,18.8,6.7,0.0,0.0,000000,4.8,116
766850,2021-01-27,10:29:18,2.5,-6.6,787.7,1012.5,14.9,7.9,0.03,0.0,010000,50.2,155
766870,2021-01-27,10:29:18,6.4,3.3,873.8,1022.8,8.6,2.7,0.0,0.0,000000,42.1,47
766580,2021-01-27,10:29:18,11.2,-0.3,965.5,1009.9,17.7,9.4,0.0,0.0,000000,37.3,167
766440,2021-01-27,10:29:18,9.9,5.0,1014.3,1017.0,9.9,15.9,0.01,0.0,010000,50.5,39
766443,2021-01-27,10:29:18,14.0,10.4,1003.9,1010.2,11.6,24.1,0.0,0.0,000000,35.9,62
764125,2021-01-27,10:29:18,10.5,-2.8,984.5,977.6,10.4,8.2,0.0,0.0,000000,12.9,281
766546,2021-01-27,10:29:18,8.9,7.5,995.7,997.6,12.6,5.7,0.0,0.0,000000,46.6,127
764120,2021-01-27,10:29:18,10.4,1.8,1012.2,1015.2,17.2,8.0,0.05,0.0,010000,51.2,185
762555,2021-01-27,10:29:18,13.2,4.2,999.5,995.6,13.3,5.8,0.0,0.0,000000,61.9,289
762550,2021-01-27,10:29:18,10.1,-7.5,1031.6,1013.4,38.5,2.9,0.0,0.0,000000,1.5,233
765773,2021-01-27,10:29:18,3.2,-8.0,1014.0,1008.9,13.3,8.4,0.0,0.0,000000,48.6,257
767755,2021-01-27,10:29:18,6.0,-6.6,1006.1,1012.4,11.5,8.6,0.0,0.0,000000,32.4,188
761300,2021-01-27,10:29:18,-2.7,-12.6,1050.7,1022.9,39.3,6.3,0.0,0.0,100000,38.5,157
763615,2021-01-27,10:29:18,11.4,2.3,1014.1,1017.4,17.4,6.4,0.0,0.0,000000,1.2,24
762530,2021-01-27,10:29:18,5.7,-2.2,1005.0,1017.6,17.7,8.4,0.01,0.0,010000,50.1,54
762863,2021-01-27,10:29:18,4.7,-4.0,1004.3,1011.8,14.0,15.3,0.0,0.0,000000,43.2,226
764235,2021-01-27,10:29:18,2.5,-7.9,1002.2,1018.6,20.2,5.9,0.0,0.0,000000,69.1,85
765906,2021-01-27,10:29:18,8.5,4.4,1012.5,1010.3,0.0,14.5,0.09,0.0,010000,88.4,247
767584,2021-01-27,10:29:18,13.0,6.5,1004.2,1004.0,12.6,9.7,0.0,0.0,000000,39.3,353
763503,2021-01-27,10:29:18,6.4,0.7,1011.8,1008.2,10.8,13.3,0.19,0.0,010000,92.4,114
766010,2021-01-27,10:29:18,9.1,4.8,1032.0,1016.1,17.7,5.5,0.0,0.0,000000,49.3,189
763900,2021-01-27,10:29:18,3.6,-5.6,823.5,1014.5,12.5,11.1,0.05,0.0,010000,50.3,55
766011,2021-01-27,10:29:18,10.9,7.1,1018.6,1013.2,15.9,5.4,0.0,0.0,000000,84.1,179
764056,2021-01-27,10:29:18,13.7,2.4,1012.3,1008.4,10.3,18.0,0.0,0.0,000000,75.0,17
764915,2021-01-27,10:29:18,8.1,0.4,1014.7,1008.9,18.5,17.6,0.0,0.0,000000,80.2,164
766534,2021-01-27,10:29:18,13.4,8.1,997.7,1002.8,14.0,12.3,0.0,0.0,000000,68.7,200
762430,2021-01-27,10:29:18,4.2,-2.7,991.1,1019.9,13.6,7.6,0.03,0.0,010000,71.6,335
763820,2021-01-27,10:29:18,3.6,-7.8,929.6,1015.5,15.6,5.3,0.01,0.0,010000,50.1,178
760500,2021-01-27,10:29:18,6.0,2.8,1027.0,1018.2,23.6,0.5,0.0,0.0,000000,77.2,0
766655,2021-01-27,10:29:18,9.0,4.4,996.2,1013.3,14.8,10.0,0.21,0.0,010000,55.4,82
766950,2021-01-27,10:29:18,10.0,6.4,1015.2,1017.2,12.3,14.0,0.01,0.0,010000,70.7,131
760610,2021-01-27,10:29:18,8.5,4.1,1018.7,1012.4,38.9,12.5,0.0,0.0,000000,63.3,118
